    age    mean_ze_rw    mean_ze_nl var_ze_rw var_ze_nl
 1:  25 -0.0005248890 -0.0002445700 0.2007188 0.1875441
 2:  27  0.0017127810 -0.0021429104 0.2179924 0.1959554
 3:  29  0.0002903108 -0.0016394268 0.2352975 0.1994970
 4:  31  0.0024392751 -0.0009236047 0.2558551 0.2028105
 5:  33  0.0034578431 -0.0029470971 0.2730838 0.2036290
 6:  35  0.0043666592 -0.0018128310 0.2929962 0.2032461
 7:  37  0.0011249786 -0.0012181130 0.3070531 0.2030536
 8:  39  0.0019442801 -0.0001193631 0.3321654 0.2066936
 9:  41  0.0027158886 -0.0005326106 0.3476551 0.2127219
10:  43  0.0027966069  0.0016646022 0.3707304 0.2196536
11:  45  0.0014231630  0.0031814733 0.3873627 0.2328568
12:  47  0.0032090184  0.0041987264 0.4036408 0.2465832
13:  49  0.0015285047  0.0032272462 0.4251403 0.2686102
14:  51  0.0012744483  0.0044092167 0.4442833 0.2956017
15:  53  0.0021371336  0.0041136328 0.4570815 0.3202462
16:  55  0.0004771811  0.0039528806 0.4753157 0.3437534
17:  57  0.0019482628  0.0022870476 0.4940539 0.3712754
18:  59  0.0020383212  0.0021475167 0.5117045 0.4013781
